;15-04;76,94;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/;15-04;76,94.jpeg"
;22-04;115,80;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/;22-04;115,80.jpeg"
;22-04;28,35;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/;22-04;28,35.jpeg"
;23-04;10,10;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/;23-04;10,10.jpeg"
;23-04;11,40;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/;23-04;11,40.jpeg"
;24-04;16;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/;24-04;16.jpeg"
;24-04;224,91;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/;24-04;224,91.jpeg"
2 pcts cal;24-04;" 16,00";"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/2 pcts cal;24-04; 16,00.jpeg"
2 pcts de cal;25-04;16,00;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/2 pcts de cal;25-04;16,00.jpeg"
2 Thinners Eucatex;18-04;175,80;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/2 Thinners Eucatex;18-04;175,80.jpeg"
2 thinners;19-04;175,80;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/2 thinners;19-04;175,80.jpeg"
"2 Tintas hidro tintas maxlit 3lt ";14-04;152,30;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/2 Tintas hidro tintas maxlit 3lt ;14-04;152,30.jpeg"
3 sc cimento;20-04;114,00;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/3 sc cimento;20-04;114,00.jpeg"
4 Colchão inflável;12-04;709,80;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/4 Colchão inflável;12-04;709,80.jpeg"
4 Tintas hidro tintas 3lts vermelho, estompa, 6 máscaras descartávei;14-04;341,00;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/4 Tintas hidro tintas 3lts vermelho, estompa, 6 máscaras descartávei;14-04;341,00.jpeg"
5 scs cimento ciplam;25-04;190,00;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/5 scs cimento ciplam;25-04;190,00.jpeg"
6 Cimento 50kg, 2 serras manuais 24dnts, trena 5m, trena 3m, 4 réguas esféricas 25mm;14-04;398,25;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/6 Cimento 50kg, 2 serras manuais 24dnts, trena 5m, trena 3m, 4 réguas esféricas 25mm;14-04;398,25.jpeg"
7 garfos, 6 colheres, 7 facas;12-04;63,80;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/7 garfos, 6 colheres, 7 facas;12-04;63,80.jpeg"
anti alérgicos;26-04;10,00;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/anti alérgicos;26-04;10,00.jpeg"
Argamassa 20kg, Desempenadeira aço 10x10m , Tube grnd Cola, Espátula 12cm, 3 sc cimento ciplam;" 24-04";" 224,51";"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/Argamassa 20kg, Desempenadeira aço 10x10m , Tube grnd Cola, Espátula 12cm, 3 sc cimento ciplam; 24-04; 224,51.jpeg"
Caixa de luz 4x2, Lixa p massa de madeira;27-04;26,56;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/Caixa de luz 4x2, Lixa p massa de madeira;27-04;26,56.jpeg"
câmara de ar do carrinho;19-04;22,00;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/câmara de ar do carrinho;19-04;22,00.jpeg"
Cola Brasil 20g;18-04;10,30;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/Cola Brasil 20g;18-04;10,30.jpeg"
conta de água e esgoto casa 2;19-04;42,18;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/conta de água e esgoto casa 2;19-04;42,18.jpeg"
conta de água e esgoto casa;19-04;90,20;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/conta de água e esgoto casa;19-04;90,20.jpeg"
conta de internet 2 casa;20-04;67,22;"https://github.com/glauco-dev/Comprovantes-compras-Santa-Maria/tree/master/fotos/conta de internet 2 casa;20-04;67,22.jpeg"
